Bedrooms,Bathrooms,Sqft,Year_Built,Price (ETH)
4,1,1277,1970,24.854
5,1,957,1952,15.714
2,1,1062,2000,38.424
4,1,2074,2012,47.448
3,2,2180,1991,36.96
2,1,4583,1979,34.966
6,5,3954,1986,40.408
4,3,4239,2012,52.378
4,4,1652,1971,27.003999999999998
5,4,2594,2004,45.888
1,1,610,1988,31.020000000000003
5,2,3161,1993,40.922
5,4,3006,1961,25.212
6,1,1199,2008,44.698
1,1,4522,1960,24.844
3,1,3735,1959,23.77
3,1,2307,1959,20.914
6,2,4751,2022,59.102000000000004
6,5,3774,1972,33.048
4,4,1449,1979,30.598
3,2,4191,1973,31.982
5,4,1878,1985,34.956
3,3,949,2001,39.798
6,5,759,2011,46.518
6,4,4540,1993,44.78
6,4,1730,2014,49.66
3,1,4456,1993,42.212
5,3,3789,1950,20.978
6,2,3509,1972,31.618
4,1,942,2016,47.184
3,2,2411,1981,32.422
6,2,2295,1984,35.19
4,1,776,1984,30.852
2,1,4152,1990,39.604
5,5,3247,1969,29.994
5,2,3009,1958,23.118
6,1,1197,1951,16.194000000000003
3,3,4249,2020,55.897999999999996
5,4,3088,1973,31.375999999999998
3,2,903,1974,25.906
3,1,3945,1975,32.19
5,1,1368,1954,17.536
1,1,3114,1987,35.528
3,3,3389,1965,26.678
2,1,1915,1974,27.130000000000003
4,1,1686,2003,42.172
6,1,3399,1987,38.598
4,2,1184,2003,41.468
2,1,2757,2015,49.314
1,1,1983,1979,29.266000000000002
4,1,4854,1996,45.008
3,1,2853,1954,19.506
3,1,2823,1972,28.446
3,2,3089,1962,24.278
6,5,3079,1990,40.658
2,2,3217,2013,49.534
1,1,3500,2023,54.3
6,4,1091,1978,30.381999999999998
1,1,4684,2003,46.668
2,1,2581,1960,21.462
2,2,1932,2017,48.964
6,5,3875,1992,43.25
4,3,2020,1974,28.94
2,2,2035,1973,27.17
3,1,4007,1962,25.814
1,1,881,1979,27.062
6,1,2345,1992,38.99
4,4,591,2003,40.882
5,4,1384,1984,33.468
3,1,1897,2000,40.594
3,1,4771,1979,35.842
1,1,3765,2016,51.33
3,1,2891,1981,33.082
6,5,1267,1994,39.034
4,4,4949,1987,41.598
4,2,598,1974,25.796
4,2,3559,1958,23.718
5,2,3137,2015,51.873999999999995
2,1,2423,1983,32.646
2,1,4699,1975,33.198
6,2,4789,1959,27.677999999999997
2,2,2964,2016,50.528
5,3,2927,1958,23.254
2,1,2471,2004,43.242000000000004
4,2,4957,1981,38.013999999999996
4,1,3226,1991,39.252
6,4,2644,1954,21.488
5,5,1415,1958,20.83
2,1,2892,1991,37.584
6,5,3790,2013,53.58
3,1,2824,1980,32.448
5,4,1756,1962,23.212
5,1,1109,1971,25.518
4,2,3863,2002,46.326
1,1,3561,1952,18.922
6,6,3944,1995,45.188
2,2,3647,1984,35.894
2,1,4331,1961,25.462000000000003
3,3,4133,1972,31.666
3,3,1111,2016,47.622
5,1,1531,1983,32.362
6,5,971,1963,22.942
4,2,3692,1968,28.984
6,6,3189,1984,38.178
4,3,830,1974,26.560000000000002
6,1,1271,1996,38.842
6,1,2260,1994,39.82
3,1,722,2015,45.744
4,2,3964,1961,26.028
4,4,3939,2006,49.078
1,1,1601,1999,38.502
4,4,4610,1955,24.92
1,1,4734,2011,50.768
2,1,4288,2003,46.376000000000005
6,1,4802,1961,28.404000000000003
2,2,3198,1997,41.495999999999995
1,1,794,1995,34.888000000000005
5,3,2297,1952,18.994
3,1,1384,1976,27.568
6,1,4043,1984,38.386
5,1,2524,1965,25.348
4,2,2697,1966,25.994
6,3,4350,2007,51.1
5,5,1184,2012,47.367999999999995
2,1,4205,1962,25.71
3,1,3621,2019,53.542
5,3,4298,2008,50.996
4,4,1553,2018,50.306
6,3,1851,2004,44.602000000000004
4,3,1877,2001,42.153999999999996
1,1,2958,1985,34.216
6,1,1551,1965,23.902
1,1,1149,1954,15.098
1,1,868,2017,46.036
1,1,4824,1986,38.448
4,4,2413,2007,46.525999999999996
2,1,724,2006,40.748000000000005
1,1,4201,2012,50.202
3,2,2770,1960,22.64
5,1,3867,1976,33.534
3,2,1585,2013,46.769999999999996
1,1,588,1980,26.976
1,1,4449,1987,38.198
3,3,2610,1971,28.12
4,1,1595,2003,41.99
5,3,2876,2010,49.152
1,1,2707,2021,51.714
1,1,2115,1954,17.03
5,2,4112,1966,29.323999999999998
3,1,2505,2011,47.31
6,2,3181,2003,46.462
1,1,689,1991,32.678
4,4,2553,2012,49.306
4,4,2026,2017,50.751999999999995
4,4,3269,1994,41.738
6,5,3993,2010,52.486000000000004
2,2,4807,2006,49.214
4,4,2496,1996,41.192
2,2,3678,2006,46.956
6,6,3799,1954,24.398
6,5,3373,1985,38.746
5,5,3053,1964,27.106
5,1,1873,1965,24.046
6,6,4064,1958,26.928
1,1,4366,1983,36.032
3,3,2671,1991,38.242000000000004
4,4,1171,1957,19.042
4,3,1738,2015,48.876000000000005
6,1,1153,1956,18.606
3,3,791,2007,42.482
2,1,2269,1981,31.338
3,3,2958,2005,45.816
1,1,2626,1987,34.552
2,2,4333,1972,31.266
5,2,4906,1980,37.912
6,3,1376,2014,48.652
6,2,2173,1950,17.945999999999998
5,3,1400,2017,49.7
4,2,4524,2009,51.147999999999996
6,3,2472,1968,27.844
5,5,4557,2013,54.614000000000004
4,2,3558,1979,34.216
5,5,4363,2011,53.226
5,5,4266,1997,46.032
1,1,4868,1982,36.536
5,1,3939,1980,35.678
1,1,4046,2020,53.892
1,1,4102,1960,24.004
3,1,2144,2004,43.088
4,4,2728,1950,18.656
4,1,4057,1991,40.914
4,1,2622,1963,24.044
2,2,3693,2013,50.486000000000004
5,4,691,2015,47.582
2,2,3613,1959,23.326
2,2,1292,1974,26.183999999999997
2,1,1122,1983,30.044
4,1,2396,1973,28.592
2,1,3883,1953,20.566000000000003
4,1,2913,1990,38.126000000000005
4,1,3646,1997,43.092
3,3,4840,1995,44.58
5,4,2876,2021,54.952
6,6,2325,1958,23.450000000000003
4,3,4939,1977,36.278
2,1,3786,2001,44.372
1,1,2292,1956,18.384
3,2,2034,2010,46.168
3,3,2524,2008,46.448
1,1,3789,1985,35.878
2,1,4269,2014,51.838
5,5,3914,2000,46.828
2,2,2105,2019,50.31
5,1,4958,2022,58.716
5,4,2344,1994,40.388
2,2,951,2013,45.001999999999995
1,1,3925,1997,42.150000000000006
5,1,644,2008,43.088
5,1,4857,2016,55.514
4,3,4189,2023,57.778
5,3,3182,1955,22.264
2,1,1346,1959,18.492
4,3,2702,1982,34.304
4,4,1805,1960,21.81
2,2,1362,1974,26.323999999999998
1,1,3335,1979,31.97
2,1,3072,1975,29.944000000000003
5,4,1225,2006,44.15
3,3,1697,1969,25.294
1,1,706,2007,40.712
4,3,1840,1987,35.08
1,1,620,1990,32.04
2,1,3245,2022,53.79
4,2,3901,2021,55.902
3,1,2473,1968,25.746000000000002
1,1,3968,1982,34.736000000000004
6,1,1771,1970,26.842000000000002
4,4,1293,2005,43.286
2,1,3257,1957,21.314
2,1,1216,1952,14.732000000000001
3,2,3064,2004,45.228
1,1,731,2022,48.262
4,2,2991,2002,44.582
4,4,1067,2022,51.334
3,1,2572,1982,32.944
2,1,4901,1958,25.102
6,4,4376,2013,54.452
2,2,3132,1955,20.364
5,2,4669,1963,28.938000000000002
3,3,4610,1975,34.120000000000005
5,5,4370,1994,44.74
1,1,605,1972,23.01
4,3,1225,1990,35.35
3,1,4597,1981,36.494
5,3,1416,2007,44.732
1,1,3701,2005,45.702
2,1,4231,2017,53.262
4,3,2550,1986,36.0
3,2,2144,1969,25.887999999999998
6,1,812,2008,43.924
3,3,657,2006,41.714
5,1,4052,1953,22.404000000000003
5,4,2190,2014,50.08
1,1,2080,1990,34.96
5,3,761,1967,23.422
6,5,3644,1960,26.788
3,1,3344,1995,40.988
3,2,4811,1969,31.222
2,1,4616,1997,44.032
4,2,1585,1980,30.77
5,4,2785,2004,46.269999999999996
5,4,1385,2017,49.97
3,3,4086,1964,27.572000000000003
3,3,2670,1961,23.240000000000002
3,3,4646,1984,38.692
1,1,4337,1961,24.974
3,3,2070,2005,44.04
1,1,831,2022,48.462
1,1,3751,2020,53.302
3,1,4179,2004,47.158
2,1,4631,2023,57.062
4,2,1663,1976,28.926000000000002
2,2,766,1981,28.631999999999998
4,3,3665,1963,26.73
6,2,4274,1993,43.647999999999996
4,2,888,1961,19.875999999999998
3,1,1283,2000,39.366
5,5,3780,2010,51.56
5,1,1421,2004,42.642
3,1,1756,1970,25.312
3,3,2059,1984,33.518
5,4,761,1966,23.222
4,1,4673,2010,51.646
3,1,1551,2013,46.402
4,4,4098,2010,51.396
4,2,1393,2001,40.885999999999996
2,2,4318,1950,20.236
6,3,2147,1987,36.694
3,2,2293,2019,51.186
6,2,3607,1961,26.314
5,5,1975,1974,29.95
3,2,3750,2000,44.6
4,4,3565,1953,21.83
1,1,2958,2008,45.716
4,3,3340,2018,53.58
3,2,3875,1979,34.35
5,1,3299,2005,46.897999999999996
4,1,4657,1963,28.114
2,1,2590,1969,25.98
1,1,2932,1980,31.664
1,1,4335,1955,21.97
3,2,767,2010,43.634
4,3,4733,2015,54.866
4,4,3084,1965,26.868
4,4,780,1966,22.759999999999998
2,1,3568,1981,33.936
5,2,3486,2008,49.072
2,2,832,1950,13.264
1,1,945,1972,23.69
4,1,1262,2001,40.324
2,1,1581,1950,14.462
3,2,596,1969,22.792
2,1,2101,1972,26.502000000000002
6,1,869,1968,24.038
2,2,847,1995,35.794
4,1,4449,1952,22.198
2,1,1630,2016,47.56
2,1,3887,1951,19.574
1,1,3645,1984,35.09
1,1,4428,1973,31.156
5,3,4485,2014,54.370000000000005
4,2,1159,1973,26.418
1,1,3286,1960,22.372
5,2,3487,1995,42.574
3,3,4340,2002,47.08
4,1,3196,2020,53.692
4,2,2237,1979,31.573999999999998
2,1,2169,1987,34.138000000000005
6,6,4470,1991,44.24
6,1,2703,1992,39.706
2,1,2471,2004,43.242000000000004
1,1,4835,1993,41.97
6,2,1095,1962,21.79
2,2,2867,1961,22.834
5,4,2912,1995,42.024
2,2,1315,2010,44.230000000000004
5,3,3914,2002,47.228
6,6,4922,2010,54.644
5,2,3409,1950,19.918
4,2,3288,1980,34.176
1,1,4835,1982,36.47
6,2,1823,1954,19.246
6,3,4078,1977,35.556
2,2,3575,1982,34.75
1,1,4147,1962,25.094
4,3,2280,1986,35.46
3,1,4744,1980,36.288
1,1,1169,1961,18.638
5,1,3237,1950,19.274
6,6,2009,1979,33.318
1,1,3243,1960,22.286
5,3,3288,1958,23.976
6,5,3827,2011,52.653999999999996
3,1,2911,1970,27.622
3,1,1181,1984,31.162
4,2,4594,1986,39.788
4,4,3746,2015,53.192
2,1,2198,1977,29.196
5,3,2438,2018,52.275999999999996
2,2,1108,2019,48.316
5,4,1086,1974,27.872
5,4,3265,1990,40.230000000000004
6,2,4810,1983,39.72
4,2,2621,1987,36.342
4,2,2905,2021,53.91
2,2,4994,1986,39.588
2,1,4240,1995,42.28
5,1,3844,1957,23.988
6,4,3878,1977,35.456
2,2,4964,1953,23.028
5,4,3358,2011,50.916
6,4,3634,2022,57.468
5,4,2007,2023,54.214
2,2,4608,1966,28.816000000000003
3,1,4980,1998,45.760000000000005
5,3,561,1966,22.522
3,1,3098,1973,29.496000000000002
6,3,3812,2012,52.524
2,1,3175,1964,24.650000000000002
1,1,1126,1991,33.552
4,1,2387,2003,43.574
3,1,2563,1976,29.926000000000002
2,2,3523,2004,45.646
5,5,2580,2000,44.16
3,2,3924,1976,32.948
3,3,1150,1952,15.700000000000001
5,1,1522,1977,29.344
6,2,1067,1954,17.734
5,2,4433,1955,24.466
4,3,4179,1978,35.258
2,2,1375,1965,21.85
3,2,3685,1978,33.47
4,2,602,1964,20.804000000000002
6,1,4914,1968,32.128
6,5,1332,1979,31.664
5,2,2073,1983,33.745999999999995
5,4,2575,1978,32.85
5,1,845,2008,43.49
3,2,2109,1995,38.818
1,1,655,1952,13.110000000000001
4,2,1136,2019,49.372
3,2,3706,1983,36.012
3,1,2261,1971,26.822000000000003
2,2,1474,2003,41.048
4,4,2025,1966,25.25
1,1,2789,2010,46.378
3,1,2320,1989,35.94
3,1,4520,1977,34.34
5,5,1370,1973,28.240000000000002
1,1,3439,2022,53.678
6,2,798,2017,48.696
4,4,1749,2011,47.198
5,3,1437,2020,51.274
4,4,1868,1987,35.436
1,1,2713,1954,18.226
3,1,1111,1950,14.022
1,1,2277,1992,36.354
5,2,4740,1979,37.08
2,2,4344,1999,44.788
2,1,1920,2017,48.64
5,5,4652,1963,29.804000000000002
6,1,4216,1999,46.232
6,2,4073,2018,55.746
3,3,2725,1967,26.35
4,3,4423,2022,57.746
4,3,4789,1954,24.478
1,1,4953,1963,27.206000000000003
3,3,4786,1979,36.472
4,2,2075,2012,47.75
2,2,3053,1990,37.706
6,6,4364,1972,34.528
4,1,3956,1953,21.712
2,2,4776,1959,25.652
3,1,3288,2005,45.876000000000005
1,1,2622,2007,44.544
3,1,2413,2021,52.126000000000005
3,2,944,1974,25.988
1,1,4334,2020,54.468
3,1,2170,2009,45.64
5,5,2404,2006,46.808
1,1,4960,1978,34.72
4,1,1368,1968,24.036
1,1,798,1972,23.396
1,1,4902,1951,21.104
5,5,1658,1984,34.316
3,3,4709,2018,55.818
1,1,4742,1996,43.284
5,5,2805,2011,50.11
1,1,3701,1995,40.702
1,1,2697,1953,17.694000000000003
1,1,4302,1984,36.404
5,3,1024,1964,22.448
4,3,3554,1980,35.008
1,1,2239,2011,45.778
4,4,2573,1959,22.846
4,3,2288,1953,18.976
5,4,1574,2022,52.848
2,2,4422,2000,45.444
6,5,4709,1964,30.918
6,3,1140,2021,51.68
6,6,2542,2018,53.884
2,1,1985,1964,22.270000000000003
3,3,1583,2005,43.066
4,1,4951,1992,43.202
6,2,1524,1981,32.147999999999996
2,1,3013,1988,36.326
3,3,4488,2014,53.376000000000005
2,2,2889,1970,27.378
1,1,3879,1993,40.058
2,2,3534,1993,40.168
1,1,2043,2011,45.386
6,3,697,1986,33.294
2,2,3626,1986,36.852000000000004
4,1,4503,1951,21.806
1,1,3867,2006,46.534
3,3,2987,2023,54.874
3,3,2727,2004,44.854
3,3,4764,1958,25.928
2,2,1233,1985,31.566
3,1,1819,1974,27.438000000000002
1,1,2118,2002,41.036
3,3,2034,2013,47.968
4,1,3932,2016,53.164
5,2,2391,1987,36.382
6,1,1765,1957,20.330000000000002
3,3,3662,1974,31.724
1,1,3429,1986,35.658
1,1,801,2001,37.902
5,4,2198,2012,49.096000000000004
2,2,1402,1977,27.904
2,2,4189,1959,24.478
6,1,4967,1967,31.734
3,3,1125,2008,43.65
2,2,1221,2006,42.042
4,1,2256,2023,53.312
2,2,1474,1992,35.548
5,4,3414,1976,33.528
6,3,3698,1965,28.796
6,3,3692,1960,26.284
4,4,1793,1958,20.785999999999998
3,2,3610,1996,42.32
1,1,3301,1972,28.402
4,3,3800,1985,38.0
5,1,2635,1965,25.57
3,2,4273,1960,25.646
1,1,2262,1994,37.324
2,1,2345,1953,17.490000000000002
3,2,4968,1990,42.036
5,5,759,2017,49.018
5,3,4663,2013,54.226
2,2,1141,2019,48.382
4,1,3136,1959,23.072000000000003
4,3,3440,1989,39.28
6,4,4395,2016,55.99
4,1,2927,2013,49.653999999999996
5,2,4887,2009,52.374
3,1,3842,1971,29.984
2,1,1970,1988,34.24
6,6,4966,1950,24.732
4,4,4115,2011,51.93
2,2,3496,1977,32.092
2,2,4167,2001,45.434
6,6,2374,2022,55.548
4,1,4168,1992,41.636
4,2,3404,1960,24.408
2,2,3984,1977,33.068
6,6,2705,1997,43.71
3,2,1176,2009,43.952
4,1,2708,1973,29.216
3,2,3124,1999,42.848
2,1,2680,2010,46.66
2,1,4473,1967,28.746000000000002
1,1,3565,1986,35.93
1,1,2465,1975,28.23
2,1,2039,1976,28.378
3,3,3712,2000,44.824
3,3,3807,1992,41.013999999999996
2,2,3958,1969,29.016
5,4,3709,1983,37.617999999999995
3,2,1453,2012,46.006
6,6,1101,2018,51.002
2,2,2765,2006,45.129999999999995
3,1,1297,1979,28.894
2,1,831,2000,37.962
4,4,4907,1982,39.013999999999996
6,5,1088,2015,49.176
1,1,2999,2010,46.798
3,1,2294,2012,47.388000000000005
5,4,4915,1991,44.03
6,5,2599,2009,49.198
5,2,4530,2006,50.16
5,2,2311,1965,25.222
1,1,716,1964,19.232
6,6,4190,1955,25.68
1,1,1784,1976,27.368000000000002
1,1,3922,1950,18.644000000000002
5,3,2809,1994,41.018
4,3,703,1985,31.806
5,4,4236,1950,22.171999999999997
2,2,4222,1976,33.044
4,1,4214,2021,56.228
5,5,1884,1973,29.268
6,5,4640,1962,29.78
6,4,4830,2011,54.36
2,2,3433,1965,25.966
5,1,3026,1990,38.852000000000004
4,2,4414,1963,27.927999999999997
4,2,2892,1983,34.884
3,3,1214,1985,32.328
3,2,3594,1962,25.288
5,3,1346,2012,47.092
6,2,1128,2004,42.856
2,1,2020,2008,44.34
5,1,3263,1953,20.826
1,1,3852,1998,42.504000000000005
3,1,4082,1992,40.964
1,1,2113,1962,21.026
5,1,2447,1950,17.694000000000003
5,3,1676,1964,23.752
4,2,2480,1991,38.06
2,1,3483,1974,30.266000000000002
1,1,2998,1973,28.296
5,5,4103,1952,23.206
5,4,739,1975,27.677999999999997
3,2,4543,2010,51.186
2,1,4979,1983,37.758
2,2,2531,1950,16.662
5,3,4623,1976,35.646
1,1,3039,1961,22.378
6,2,1771,1953,18.642
1,1,4290,1987,37.88
1,1,3536,2020,52.872
5,4,3035,2010,49.769999999999996
4,2,4780,1968,31.16
6,5,3955,2023,58.91
1,1,1415,1950,13.63
2,1,3247,2005,45.294
4,1,1055,1960,19.41
4,3,2629,2006,46.158
3,2,2925,2006,45.95
2,2,2760,2010,47.120000000000005
5,2,1136,1955,17.872
1,1,2414,1964,22.628
5,5,4569,1954,25.137999999999998
6,2,1035,2005,43.17
3,2,4696,2021,56.992
6,5,608,1989,35.216
1,1,1755,2023,50.81
1,1,4659,1977,33.618
1,1,2123,1972,26.046
5,5,2761,2011,50.022
3,1,577,2018,46.954
3,2,1108,1991,34.816
6,4,763,1970,25.726
5,3,2343,2009,47.586
5,1,2592,1962,23.984
3,3,2761,2003,44.422
2,1,4386,1951,20.572000000000003
6,4,3661,2002,47.522
4,4,1668,2022,52.536
2,1,782,1981,28.364
2,1,723,1980,27.746000000000002
1,1,2017,2021,50.334
1,1,1226,1973,24.752000000000002
5,2,2589,1957,21.778
6,6,3482,2016,54.764
1,1,2038,1989,34.376000000000005
3,2,4460,2020,56.019999999999996
4,3,3220,1973,30.84
5,3,992,1951,15.884
4,2,3853,1962,26.306
6,2,2492,2018,52.584
6,4,3493,1987,39.686
3,3,702,2008,42.804
2,1,1374,1972,25.048000000000002
1,1,2395,1994,37.59
3,2,2931,1952,18.962
6,2,3991,2002,47.582
1,1,1408,1982,29.616
2,1,4024,1981,34.848
1,1,2964,2002,42.728
4,3,2891,1980,33.682
3,3,3876,2017,53.652
1,1,4843,1969,29.986
1,1,1019,1986,30.838
3,1,2030,1976,28.86
3,2,630,1951,13.86
4,1,2568,2021,52.936
4,3,1941,1969,26.282
5,2,946,2022,50.992
2,2,4790,1950,21.18
4,2,1270,2012,46.14
1,1,4394,1977,33.088
1,1,3408,1966,25.616
2,2,1019,1967,22.137999999999998
2,2,4113,2023,56.326
2,2,4007,1985,37.114
3,1,635,1984,30.07
1,1,2998,1976,29.796
5,4,2188,2004,45.076
6,3,2831,1966,27.562
1,1,1676,1967,22.652
6,2,2291,2018,52.182
2,1,3846,1972,29.992
4,2,1477,1978,29.554000000000002
5,5,3087,1986,38.174
4,4,1836,1959,21.372
4,1,4512,1967,29.824
4,4,1243,1992,36.686
3,3,1301,1960,20.002000000000002
2,2,1525,1963,21.15
5,1,1572,1996,38.944
4,4,3372,1979,34.444
5,3,2591,2021,54.082
6,5,1612,2005,45.224000000000004
2,2,3879,1982,35.358000000000004
1,1,1499,1972,24.798000000000002
6,2,1257,1961,21.614
2,2,1559,1956,17.718
1,1,4205,2012,50.21
5,5,4854,1983,40.208
1,1,2262,1985,32.824
4,3,609,1980,29.118000000000002
1,1,2789,2010,46.378
1,1,4216,1987,37.732
5,3,2565,2015,51.03
2,2,2910,2013,48.92
4,3,686,1994,36.272
2,1,3590,2009,47.980000000000004
3,1,1304,2006,42.408
1,1,4829,1952,21.458
6,6,527,1958,19.854
2,2,3978,1957,23.056
2,2,1146,1983,30.392
2,2,4301,2008,49.202
4,3,2833,2006,46.566
